Time,Te,Ghs,Dfs,Ws,Wd,RH
1,0.99,0.34,0.17,0.94,113.55,94.75
2,0.85,0.34,0.17,0.85,106.7,94.8
3,0.62,0.34,0.17,0.76,87.1,95.3
4,0.52,0.34,0.17,0.74,100.95,95.65
5,0.52,0.34,0.17,0.68,114.25,95.45
6,0.36,0.34,0.17,0.67,108.9,95.5
7,0.09,0.34,0.17,0.67,93.8,96.05
8,-0.13,0.34,0.17,0.54,99.1,96.6
9,-0.24,0.34,0.17,0.6,118.7,96.85
10,-0.36,0.34,0.17,0.63,100.18,97.05
11,-0.44,0.34,0.17,0.55,100.48,97.3
12,-0.49,0.34,0.17,0.49,118.05,97.55
13,-0.58,0.34,0.17,0.51,109.1,97.65
14,-0.63,0.34,0.17,0.59,99.25,97.6
15,-0.74,0.34,0.17,0.5,77.31,97.7
16,-0.81,0.34,0.17,0.49,78.07,97.95
17,-0.84,0.34,0.17,0.6,80.49,98.05
18,-0.89,0.34,0.17,0.58,102.39,98
19,-0.89,0.34,0.17,0.58,104.76,98
20,-0.89,0.34,0.17,0.43,98.26,98
21,-0.93,0.34,0.17,0.39,127.95,98
22,-1.03,0.34,0.17,0.75,126,98.05
23,-1.11,0.34,0.17,0.8,113.15,98.05
24,-1.17,0.34,0.17,0.55,111.85,98.1
25,-1.14,0.34,0.17,0.62,116.2,98.15
26,-1.01,0.34,0.17,0.81,115,98
27,-0.83,0.34,0.17,0.82,139.5,97.65
28,-0.57,0.34,0.17,0.99,132.95,96.75
29,-0.41,0.34,0.17,1.07,122.1,96
30,-0.39,0.34,0.17,0.79,114.85,95.85
31,-0.42,0.34,0.17,0.47,81.9,95.95
32,-0.51,0.34,0.17,0.34,113.4,96.2
33,-0.61,0.34,0.17,0.52,141.35,96.55
34,-0.67,0.34,0.17,0.76,126.5,97.05
35,-0.61,0.34,0.17,0.68,107.55,97
36,-0.58,0.34,0.17,0.37,107,96.7
37,-0.66,0.37,0.19,0.14,83.36,97
38,-0.64,1.3,0.99,0.19,76.16,97.2
39,-0.53,4.62,4.11,0.42,114.7,97
40,-0.46,11.13,10.48,0.51,114.3,96.75
41,-0.35,24.12,22.92,0.51,100.75,96.4
42,-0.15,44.07,41.77,0.58,104.65,95.95
43,0.23,66.6,61.53,0.66,95.32,94.75
44,0.86,86.89,76.67,0.64,101.76,92.5
45,1.55,102.85,87.15,0.78,131.65,90.35
46,2.02,108.95,91.25,1.05,138.6,89.05
47,2.24,98.95,87.75,0.97,135.9,88.85
48,2.4,91.75,87.3,0.73,142.15,89.05
49,2.62,96.9,93.3,0.49,128.6,88.9
50,2.87,108.4,100.05,0.43,103.55,88.15
51,3.2,138.95,108.8,0.57,139.75,86.95
52,3.67,175.85,120.65,0.78,180.7,83.7
53,4.09,199.8,135.5,0.98,186.65,80.23
54,4.64,233.3,151.9,0.83,246.8,78.49
55,5.72,272.35,161.7,0.39,275.25,74.17
56,6.68,294.4,161.85,0.21,251.3,70.38
57,7.15,325.2,164.45,0.28,184.9,68.18
58,7.62,340.2,169.2,0.33,206.85,66.76
59,8.11,334.65,168.1,0.32,287.45,66.38
60,8.57,338.25,162.6,0.26,171.12,65
61,9.07,343.25,155.25,0.22,33.12,63.4
62,9.43,371.2,154.95,0.29,142.1,61.16
63,9.47,399.85,162.9,0.57,285.6,60.4
64,9.27,422.1,175.1,1.1,305.3,59.79
65,9.47,458.1,196.2,1.2,326.65,57.86
66,9.95,468.95,218.35,0.97,307.25,58.11
67,10.07,443.05,225.75,1.07,151.39,59.34
68,9.94,403.45,209.4,1.22,152.85,60.71
69,10.06,425.6,196.75,1.14,293.95,60.36
70,10.42,484.2,210.3,1.18,326.1,59.15
71,10.52,482.15,228.15,1.29,291.75,60.02
72,10.76,459,235.55,1.31,290.9,59.43
73,11.02,493.85,244.3,1.56,340.25,58.22
74,11.02,499.65,257.85,1.82,330.55,58.63
75,10.89,434.2,272.4,2.04,316.85,58.53
76,10.83,385.7,283.2,2.11,313,59.12
77,10.88,338.05,277.45,2.13,325.25,59.6
78,10.77,293.05,261.05,2.32,321.8,59.29
79,10.6,251.25,236.25,2.16,172.36,60.46
80,10.48,223.1,219.25,2.23,187.32,61.17
81,10.43,227.8,225.45,2.55,305.65,60.92
82,10.48,228.9,225.2,2.46,294.15,61.27
83,10.52,220.65,214.85,2.26,292.45,61.06
84,10.52,220.2,216.25,1.98,274.5,60.15
85,10.53,225.5,222.6,2.11,308.45,61.1
86,10.45,226.4,222.4,2.27,225.3,62.19
87,10.39,212.25,207.35,2.24,196.25,61.91
88,10.43,193.25,188.25,2.05,303,62.02
89,10.4,178.8,175.05,1.87,321.05,63.47
90,10.38,170.65,166.75,2.34,303.65,63.58
91,10.36,166.55,162.6,2.62,299.15,64.06
92,10.39,155.35,152.2,2.5,313.9,64.66
93,10.39,137.15,133.6,2.61,310.55,63.88
94,10.29,123.05,119.8,2.77,299.8,63.5
95,10.22,112.8,110.4,2.36,304.55,63.79
96,10.11,101.75,99.3,2.41,308.2,64
97,10,92.65,90.25,2.71,298.5,63.95
98,9.92,83.39,81.19,2.4,284.6,64.86
99,9.89,73.2,71.26,2.02,271.25,65.15
100,9.81,62.77,61.05,2.2,252.35,65.2
101,9.66,51.49,49.99,2.64,237.8,66.06
102,9.53,40.78,39.62,2.61,244.5,67.09
103,9.39,32.98,32.05,2.77,259.6,67.88
104,9.24,26.84,25.88,2.91,272.2,68.83
105,9.1,21.06,20.14,2.18,276.75,70.02
106,8.97,17.51,16.78,1.59,254.85,71.41
107,8.83,15.33,14.58,1.91,262.5,72.11
108,8.7,11.46,10.77,2.19,267.3,70.94
109,8.56,6.66,6.17,1.82,213.75,70.01
110,8.4,3.37,3.01,1.31,168.7,70.1
111,8.25,1.57,1.31,1.07,207,70.4
112,8.13,0.6,0.38,0.98,266.5,70.35
113,8.07,0.36,0.17,1.21,274.75,69.67
114,8.05,0.36,0.17,1.21,266.15,70.45
115,7.94,0.36,0.17,0.9,272.9,71.49
116,7.83,0.35,0.17,1.17,272.75,71.65
117,7.84,0.36,0.17,1.66,270.5,71.91
118,7.82,0.38,0.17,1.57,283.8,72.03
